Level, Index, Time, Algorithms
expert,1,0.095658,Backtrack Algorithm
expert,2,0.119031,Backtrack Algorithm
expert,3,0.223657,Backtrack Algorithm
expert,4,0.019761,Backtrack Algorithm
expert,5,0.006909,Backtrack Algorithm
expert,6,0.137342,Backtrack Algorithm
expert,7,0.006199,Backtrack Algorithm
expert,8,0.009498,Backtrack Algorithm
expert,9,0.002653,Backtrack Algorithm
expert,10,0.114514,Backtrack Algorithm
expert,11,0.072457,Backtrack Algorithm
expert,12,0.221805,Backtrack Algorithm
expert,13,0.000281,Backtrack Algorithm
expert,14,0.065828,Backtrack Algorithm
expert,15,0.033876,Backtrack Algorithm
expert,16,0.017287,Backtrack Algorithm
expert,17,0.105411,Backtrack Algorithm
expert,18,0.030995,Backtrack Algorithm
expert,19,0.035841,Backtrack Algorithm
expert,20,0.000488,Backtrack Algorithm
expert,21,0.078315,Backtrack Algorithm
expert,22,0.002046,Backtrack Algorithm
expert,23,0.064353,Backtrack Algorithm
expert,24,0.021335,Backtrack Algorithm
expert,25,0.148270,Backtrack Algorithm
expert,26,0.261242,Backtrack Algorithm
expert,27,0.041191,Backtrack Algorithm
expert,28,0.017102,Backtrack Algorithm
expert,29,0.001528,Backtrack Algorithm
expert,30,0.000792,Backtrack Algorithm
expert,31,0.008156,Backtrack Algorithm
expert,32,0.014955,Backtrack Algorithm
expert,33,0.005571,Backtrack Algorithm
expert,34,0.043499,Backtrack Algorithm
expert,35,0.059802,Backtrack Algorithm
expert,36,0.033003,Backtrack Algorithm
expert,37,0.090068,Backtrack Algorithm
expert,38,0.029616,Backtrack Algorithm
expert,39,0.059286,Backtrack Algorithm
expert,40,0.048132,Backtrack Algorithm
expert,41,0.004994,Backtrack Algorithm
expert,42,0.000223,Backtrack Algorithm
expert,43,0.002005,Backtrack Algorithm
expert,44,0.144765,Backtrack Algorithm
expert,45,0.001345,Backtrack Algorithm
expert,46,0.020169,Backtrack Algorithm
expert,47,0.065156,Backtrack Algorithm
expert,48,0.011652,Backtrack Algorithm
expert,49,0.001192,Backtrack Algorithm
