Filename,Sudoku Number,Clues Given,Time to Complete (ns),Difficulty Level
25x25_easy,1,279,405.7061,25x25_easy
25x25_easy,2,280,189.1761,25x25_easy
25x25_easy,3,272,320.6646,25x25_easy
25x25_easy,4,274,259.0012,25x25_easy
25x25_easy,5,274,187.23999999999998,25x25_easy
25x25_easy,6,274,225.77419999999998,25x25_easy
25x25_easy,7,276,207.7661,25x25_easy
25x25_easy,8,283,124.35979999999999,25x25_easy
25x25_easy,9,273,193.719,25x25_easy
25x25_easy,10,278,188.2115,25x25_easy
25x25_expert,1,309,642.1403,25x25_expert
25x25_expert,2,304,180.9076,25x25_expert
25x25_expert,3,308,532.9091999999999,25x25_expert
25x25_expert,4,300,17936.049899999998,25x25_expert
25x25_expert,5,308,197.8331,25x25_expert
25x25_expert,6,270,2129.2814,25x25_expert
25x25_hard,1,304,132.2039,25x25_hard
25x25_hard,2,312,1391.0925,25x25_hard
25x25_hard,3,304,148.7853,25x25_hard
25x25_hard,4,316,154.8397,25x25_hard
25x25_hard,5,320,113.237,25x25_hard
25x25_medium,1,263,114.85849999999999,25x25_medium
25x25_medium,2,263,116.09729999999999,25x25_medium
25x25_medium,3,266,141.6018,25x25_medium
25x25_medium,4,260,123.5163,25x25_medium
25x25_medium,5,263,106.3449,25x25_medium
25x25_medium,6,261,119.6476,25x25_medium
25x25_medium,7,260,119.1446,25x25_medium
25x25_medium,8,267,124.8621,25x25_medium
25x25_medium,9,265,109.84989999999999,25x25_medium
25x25_medium,10,266,108.0499,25x25_medium
