Filename,Sudoku Number,Clues Given,Time to Complete (ms),Difficulty Level
9x9,1,36,2.5128999999999997,easy
9x9,2,27,14.314499999999999,easy
9x9,3,25,0.5031,easy
9x9,4,26,0.5423,easy
9x9,5,26,0.5552,easy
9x9,6,27,2.1157,easy
9x9,7,25,1.3461999999999998,easy
9x9,8,24,9.3376,easy
9x9,9,27,0.413,easy
9x9,10,26,0.45809999999999995,easy
9x9,1,24,46.527899999999995,expert
9x9,2,25,0.31579999999999997,expert
9x9,3,23,1.1934,expert
9x9,4,24,2.8796999999999997,expert
9x9,5,23,78.0529,expert
9x9,6,24,0.40499999999999997,expert
9x9,1,25,9.5914,hard
9x9,2,24,60.938399999999994,hard
9x9,3,24,15.181199999999999,hard
9x9,4,25,95.0795,hard
9x9,5,25,87.198,hard
9x9,1,23,1.9442,medium
9x9,2,24,2.0379,medium
9x9,3,24,3.9465999999999997,medium
9x9,4,23,7.9147,medium
9x9,5,26,1.9177,medium
9x9,6,25,8.8684,medium
9x9,7,25,3.5162,medium
9x9,8,26,0.5524,medium
9x9,9,25,4.6029,medium
9x9,10,25,2.5488,medium
